,organization,position,link,location,date_added,real_link,date
11,Microsoft,Software Engineer 2 - Azure Quantum Services,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSJA4fY59H-DAZLZ0YvOD3z_vw-Aqs3473aqWaZpHbzOv9hhBpk4RjvpBx0gMokTduMxkf-ifDWNOEDJvlAwqkUFQxEdrg0ShBTBRRGDmF0x3nFSjMftmB8p3qgIqCKW02XRnu4PB1jEx2LAPL0ObabZw==,USA; Washington; Redmond,2022-10-30,https://careers.microsoft.com/us/en/job/1482791/,02/11/2022
12,Northrop Grumman,Principal Engineer Systems - Quantum,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSeg3t8gEAQQJ61jQfCNjJfOrUeM4XyTmfcSWV1-1WbB5zoLMHgel_RCXWyf05BrrtWwKTfL3j8_KSvdPvR3-euX1LzDgXou1BDtnHBSMBBNcbbon6uYj5u3TGa_GiAJQkiaMMePsvZiKVbDA95VJVxMw==,USA; Maryland; Linthicum,2022-10-30,https://www.northropgrumman.com/jobs/Linthicum-----Maryland/Engineering/R10075057/principal-engineer-systems-quantum/,02/11/2022
13,Northrop Grumman,Sr. Principal Engineer Systems - Quantum,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSkHoBclMTYnDaL9SXGGjkckIF3B3Gi_fqjyP-U3OEDGPje_p6FTP7GzDcF717k68bjrbuTU--2cSGwudb1t6gYN1glccXHgjnCn1aUdGVl_Lnm4AdDSFAZ1dtjdiHucDJdsPE9YuWV0NeQ9RhMKHKw_A==,USA; Maryland; Linthicum,2022-10-30,https://www.northropgrumman.com/jobs/Linthicum-----Maryland/Engineering/R10075061/sr-principal-engineer-systems-quantum/,02/11/2022
14,NVIDIA,"Solution Architect, Quantum Computing",https://jobs.quantumapalooza.com/u/BgAAAAABjYXSwpPEMKLDSIvjgc1WgNx_fn7S7kHPydafAhGpQXe_bbUNIXHkdYFaFPGwS1yjCr9tIGcc9cJ_4OrCXYWSE4LiN6Gk3QJ4h-G9I5ZKDNDxHnMUiwgX2MS46oz-bnmUsR_-ZCUq3Ly6hzrD97fDksvL1bw==,China; Remote,2022-10-30,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Taiwan-Taipei/Solution-Architect--Quantum-Computing_JR1963212-1,02/11/2022
15,Pasqal,Senior / Principal Research Scientist-Quantum Algorithms,https://jobs.quantumapalooza.com/u/BgAAAAABjYXTHXZq34LvSPy73Xk0KEiPcutNiMhFMqG7w6t1wZlZd-aU5kjN8FZvFwJVRAR6kj06Qh1ee57tM1TA5w7i2kUnEi4N14uXaKjgMaTzan7A7Kk0OOFNbMKvvryE1PM-ogjzmLtjI6Gp-KaaUKrFrlhO8-A==,Canada; Other,2022-10-30,,02/11/2022
16,SandboxAQ,Federal Program Manager,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUky14TclCXKfd9qJuOHi9TjgzsMX0wRfJFbhjGsYpxaxyb9I0rSQKjve0nAdLcFdGl5x8QI66u7VUp3LUrzk5pBHq0cZ1LvLAgO-PNU_hc340o8icr7Kmosoy60NJamUxO7eb0q7eWdM2G944GjmfN_A==,USA; District Of Columbia; Washington,2022-10-29,,02/11/2022
17,Zapata Computing,Frontend Engineer (Visual Analytics),https://jobs.quantumapalooza.com/u/BgAAAAABjYXV0-oi6iQD-Wcj5IzWUIl0WJIXu6puYsscSn5-Y8X77ybS_ooLSoyT-ba3zySyOGRF7hBm7lMnnEFiNNOzM5XMAWU714YHz8PLRT_IlrLywtqmnh7R10ItJbxrnuM7sGcze0NBUlO73gYRodD_bnNNnFg==,USA; Massachusetts; Boston,2022-10-29,,02/11/2022
18,Anyon,Quantum Machine Learning Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXOuCwjG0HtjxtJjrwnREe6reCMO8bLXXWNVW9CWFjuOt_GeDP4xmAm_UeRJa711MGbhtWA-b-BI_wVvDGtBHLaiFs20HCI6uDMQNMKzgp9CT3OIuK2-6T5J3sXdhlZHrGIVmGfdQyzyQotPGpqvHPwMsg==,Canada; Quebec; Montreal,2022-10-28,,02/11/2022
19,ATOM Computing,US Government Sales Representative,https://jobs.quantumapalooza.com/u/BgAAAAABjYXO1Eo3GY42YNu-jfl1P7GJ2lNkSbRdgwkBHJa5tXORfOfkyRyvGmfxr_2Z0ZdBKv748Xp7b2BBrRWH2tvD6TAaO0dvLh3I9v8aOQXfkeK7XjSpcgLL9pwcVvly2o4rnWGf5oBVht-HRrkO5zbmMnN4mJA==,USA; District Of Columbia; Washington,2022-10-28,,02/11/2022
20,Deloitte Consulting,Quantum Specialist - Quantum Chemist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPfbV2K19TbXeeL3zqrR6h4D-aiv1hBsyzWlYqY4y03vAZBBcSqKQjyrQ7lnqaBqICaKOMetFGhkHZz66vvhY8A04OUJmZ3TqGOs2M-L0TtvC5ans20jSwEekEjWaroVccs388lMMPH7Q7RdRqWjXwTvA==,USA; California; San Jose,2022-10-28,,02/11/2022
