,organization,position,link,location,date_added,real_link,date
167,Montana Instruments,Electrical Engineer III,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSK3U5kSo_5Qni5zNgIQFGkOe4sqHCidEKmLUCprqu5iK_TMT_T7doI8CqdtPDxRh-76_palNUghUiflcO9VhTLAz-EeKf_NV2uAeKIlNLQdvb2y5dCG4GdUOiOVhz0Gq9PH3xQnouHi-LTtk6abh3ECg==,USA; Montana; Bozeman,2022-09-10,,02/11/2022
168,Northrop Grumman,Principal/Sr. Principal Superconducting Electronics IC Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXShb7OMi-QfD9wu9iS2FQPJtSexSgOaDjdsPstueracYA3RUL66reF4zZjfGHN8pAj9lyAmoIMJujii_G4CM_pKC1jHaRkPy6vU2qSzjsjGpmVuCz5k-ztKYlm-m6MkgG1McFpkXBIqS8m_xdL7iouwfA==,USA; Maryland; Linthicum,2022-09-10,,02/11/2022
169,Zapata Computing,Full Stack Software Engineer (Visual Analytics),https://jobs.quantumapalooza.com/u/BgAAAAABjYXV1KNd59KL5n9k36WfCAoVJEOdV6wb8eEsCB2z3XsmnvHvgNV1bs0aGmTvWMzqyfiDRwCbRzLe637limY5_TS57ocLQ1axbfPJFZnKCWXxOn-QcBxbiT0xUoTd5Xrxy_peay9d0qf_AyssJf4e80mRECg==,USA; Indiana; Indianapolis,2022-09-10,,02/11/2022
170,Honeywell,Quantinuum - Principal Systems Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQa_rJlZpTpHnGKwmhwhc0VG2kKvfeBPTI1fn1QWBDXQteZI4GuKwh1HzpbfNhWwLDwCjEQIzpay3smYCdUQoxyRn4Os2g43o9fNwp33L_kKbxCyTWT3hYFxSQrz2v4obJoS1xGEAIWhBhlsK1Jp3pt6w==,USA; Colorado; Broomfield,2022-09-07,,02/11/2022
171,Honeywell,Quantinuum - Senior Advanced Mechanical Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQdVgq38ZrZ8fMUHCDlYz7XBRq0hxX01rf7OJWh_MITGl_Nar3DmS-eCBTZZDuSYs5HsmpZ0Tc3LEP8H3-7oZg3USM4RnzB-9Yxhep4tBdiSLFGVzuqRALr9qrBhqj8WyroexAgNMntF1nIdi_pyhliuw==,USA; Minnesota; Golden Valley,2022-09-07,,02/11/2022
172,Honeywell,Quantinuum - Senior Advanced Trapped Ion Physicist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQemdG2lQ42utoJU8-XoJqlwkHJHFyIDgJu3cKlXBihKOeIpYVIoDezUA0uCVWDjJPlRYiB0FBq-9t_mMJoEIahwFQDsIwoRg5yp-1wNMUj4EN8RTYSksj1B2xDmH0VZ1Z9UItUTSZZJ1-DUrjfGVtmmg==,USA; Colorado; Broomfield,2022-09-06,,02/11/2022
173,Toshiba,Quantum Information Theorist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXVCuwhTpT7pIPFd98pNONTUWqmuJonlUreuV8XmX4EI_N538cuWrc3zogp23HsfOHn3CnI3j4Og9-Vu5SuA_AF97gyicpi28MAIL4fpDTeZOlCyA09c_NK6mDzyJzOlx5OhPLSgdyKiKh1686fSGRbVSg==,United Kingdom; Cambridge,2022-09-06,,02/11/2022
174,IonQ,"Senior Software Engineer, Test Infrastructure",https://jobs.quantumapalooza.com/u/BgAAAAABjYXRaoYG-A9BK9HKinLDJ_Xve3zPyGs2wPyEFK7mJPzugV9iA_j4LzBYOg2_HMGqcxcBORoMRrwsCiXMi5HgwCgc45Gf1VS335dUjE_lPDUvoL9cmBCmc2Gs_aJDdgS1SnSM6MB-ZDgytuqpdLlFjOuDkQA==,USA; Washington; Seattle,2022-09-03,,02/11/2022
175,Pasqal,Computational Quantum Dynamics Researcher,https://jobs.quantumapalooza.com/u/BgAAAAABjYXS_MrKig8IYBu_2kKODtpEadpn7WHFxbc-X5MFVCiUpLbfSlNifqpq-wI0hDr7-_ltTZpWxoixyX1HItVMkdWtpAwEiUMIU6kB2inAJCn85hlbDcNz61aZWKQL7waBgDtglhu1hlAPod3peur-Us64xhw==,France; Palaiseau,2022-09-03,,02/11/2022
176,Pasqal,Frontend Software Engineer Cloud Services,https://jobs.quantumapalooza.com/u/BgAAAAABjYXTBqc6kvUcnwXtNoXB2HBep8XzdnxBwRdwuGhvIYWrafzDLN-14w6s4J2OzHAxH0sfyE_j9mtZyCSpyBGOaSFQtCVrACtoilMQC6DeoIaDmHJWI9dmRpuvzl1LpL5qK0Iqi91OrPgx33ecpyTvN2PxLrg==,France; Palaiseau,2022-09-03,,02/11/2022
177,Pasqal,Scientific Software Developer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXTG7YQPFkdRpq8ceTS3EXEWIagWyIFNzRI5l3A2KOL_ZKMYNJC-05hg9UwjjXiCCDLl5ncPUjsv6b_C4sqlVNFuZbmimYC-IEEZ_cCqO8owMQaa2mE5lFf88TvSq-E1Ah1VkVg5rlnoLifqgUWyyfRrPQ==,France; Palaiseau,2022-09-03,,02/11/2022
178,QuintessenceLabs,Quality Assurance (QA) Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUVajLNaw8V_bdtgBPd2k4X7ktb47YRFtZoLOAXJo5faNnxvkfweF3tVXPuEql-99NSsUBjIkro40pfqbdCxRaCrxIg3znbuwE9GlyDut5f3PKEn6PbZcOgOnmGHWoRbs9eXBr4-HagmUMFygbGvTqcaA==,Australia,2022-09-03,,02/11/2022
179,QuintessenceLabs,Quantum Optics Researcher,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUVfGj856lGmAPI0b_q-WHHUUNx5K6HNrtfdbZNO3kpXswCSGnS0VY6jZ1AqAjOeMYo4wz1tbpeDEXUsc3hpHVtk6-1Z8dmCHTHsBPBo_8S5shmbRzToz-AXP4NUbnCnVjaL4WwRQGJlt-2aIsqACd0vA==,Australia,2022-09-03,,02/11/2022
180,Pasqal,UI UX Designer - Cloud Services,https://jobs.quantumapalooza.com/u/BgAAAAABjYXTJEkEYO9YO0bVeyoTCPWwo6XJmDMbpsclz2Fug4l9G5hD833yu9i0Ee6XLvLZ93zKhs4BtjIZJENzCO7qWxOPF1w0C1V6lFNHuthYhJTUlmpAU6K14wKawLSvSuyDDq4Ppt3zaWVVJKINRl3nOWEsKug==,France; Palaiseau,2022-09-02,,02/11/2022
181,Amazon Web Services (AWS),"Corporate Counsel, AWS Legal",https://jobs.quantumapalooza.com/u/BgAAAAABjYXObEoZfNn0JGDa3Mg4PybdxvUYC1xlajqIxCajEKcm0YaLfHN_KUa8c2PlhDC20oXMlMUzaPP2bP2--Csn7_zF5BuL8Kr5w0JzvjZ76ZXcJciryKDISQK-g9NdesZfUbZiDX7CcSAf2d0IjrglRV_bIGA==,USA; California; Santa Monica,2022-09-01,,02/11/2022
182,Amazon Web Services (AWS),Quantum Solutions Architect,https://jobs.quantumapalooza.com/u/BgAAAAABjYXOjo6pJSEMPaCcXJvdsX371q4-5O4npc-LJ9nMMDcnYNwSAUmsBbCOgkUcVcevU-WfojncaALLk6GBIEBSFwjF5_erCrcgo2CQtF-Dmdn-LxaJnCvweGRCnSUrkn6SAOSwB4eBwt8-ZFeh5YAMsOpdHUA==,USA; Washington; Seattle,2022-09-01,,02/11/2022
183,Booz Allen Hamilton,Quantum Computing SME,https://jobs.quantumapalooza.com/u/BgAAAAABjYXO8XA5svXPJyPfdVYe8072iWbTDqbwLOdfedwWxl-Llj3K4YxcP8SFeKAPSxsntQwMC45UWjMcGCSMydxMKoWY8ttN9hgaazh8EdjylAiYyRAv25dvnyOkDiy5UsTrzkjJgJ5ROBL7W-AFnzk6_sQa4Dg==,USA; Maryland; Annapolis Junction,2022-08-30,,02/11/2022
184,IonQ,"Manager, FPGA Design",https://jobs.quantumapalooza.com/u/BgAAAAABjYXRIG9gZBwgMxjhWyqfBRt8SM2vbJN9-hkKOjFLOZhqFfwh2sGyqx49cl_Otr7uiiawjYDLM0hYZ5pyteKqSawUojlu5p0iG8Tlbuo-zG-iLFZxJj5WWf1SbfWSEXMfMEwAkXmG2CYK-0TYN3ULAmVzNLA==,USA; Washington; Seattle,2022-08-30,,02/11/2022
185,Physical Sciences Corp.,Optical Physicist - Nanophotonics,https://jobs.quantumapalooza.com/u/BgAAAAABjYXTLxFAVtkFbxz5jtay-t-n-m3YeqqyaN6PcZTIdLTS9_Eitk_drkP8Oc-9YhMJJVygIeuC2NiC_yLuXRCMpfsZHWA3g-2Yfc7SGNFPmBVcM6MeEIxHHMA4-uyyaJJtVbWD4bOIBLzukEAZwt3VHzeclfA==,USA; Massachusetts; Boston,2022-08-30,,02/11/2022
186,Deloitte Consulting,Quantum Specialist - Quantum Chemist NBI_US,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPfak0X8GqcVeRK252ECpTm1Y1fnieESTfL6sXO72hQjfq4ETOrBOZnXuKyTfasHCJuwYgBjk-G8DZqaL-0Wx3iTXohuTT2bzZCc9SktNtkwGk1zSMiBCUBFLdrDSysjA3J2SROHQ3uUZ-zwx-TPyHclA==,USA,2022-08-27,,02/11/2022
187,Honeywell,Quantinuum - Workplace Support Analyst,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQhI_Q-M1qsY-5J6CzKl3g5PJALUgNrWVP2c62rihwVSuZgVQFX6eqqBTX1c6ZmU5BEfHt0a-l8aUNEroQZ0M1Neem8cOvNKvIdf3tobqvvPjutIOgx4YFR765gVgctnnlDGmVXFObLRbts2d9_HFi7JA==,"USA; Colorado; Broomfield
USA; Minnesota",2022-08-27,,02/11/2022
188,QuEra Computing,Senior Software Engineer - Quantum Computing Service,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUTEvRxl8g0xAu-qP9A9LoK9CpnaiT62c5gIPDHBnpuNyt0ntpzOR2hx9bG1cWpfe4UiG3-j90Yz7puzw6z5R_v_ld1v-JSdu3Y5y6rAAO3jMCntrtQsWouqOagcw2smcZAWsHQGKqHuB5aIQ6x_MZpjA==,USA; Massachusetts; Boston,2022-08-27,,02/11/2022
189,ATOM Computing,Quantum Applications Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXOyaSNaU3EwAc0xhTMXGKyDE6ZXC53AtJsYCPGeKm_Wt2xuYO6qzWBj4DivQez4knbXL3MnQ0qFDBndIYTxawKKadcR6GKcXKGgzrAA0i7F9o1pJ9noOd9orwBxuVUmWpRoRTVAMebfK-BVTJvtbogbkA==,USA; Colorado; Boulder,2022-08-26,,02/11/2022
190,ColdQuanta,Quantum Software Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPRCfgJtyUk06shnbH5T3QkPVy3_FsJuBBkXT4iGVqjtiHsH3CXSmYkdSL2I9L8zWTkeJtzeAGUfMinPjB11uxO3UAt0gis_ZNl4Hj98SdiqQPSFEritMYglpO975Q_9HsHNaYN__ULAkDNRxDcJaSYLQ==,USA; Illinois; Chicago,2022-08-26,,02/11/2022
191,Deloitte Consulting,Cyber SGO Investment Senior Manager,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPdcyQ51y58DrwjEvOR4VVC-ly-Qbd5D-ZgmcuBTqok3HgYvFUGHnZ5AC8wTNMfIxO4tIc34uKNRh_B6KwfUSF12rwJ8S0XlnHaaLd8kUo3HrDjk3rYUa_5TRteaHhbkfbiqnKaZho_8igNYqq1Bk24Bg==,USA; Washington; Seattle,2022-08-26,,02/11/2022
192,evolutionQ,Intermediate/Senior Java Software Developer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPgWvwjonQUsEF_PZyEZjk0KQysWEG5c_Kj50ccg9oKCWt5Kkpv33JSQsj8TlRuXjjE6xj_Bg53vEFtTVvND95g_fgQ5HOrNyvLMp9hvPSyeKYgJ3lQKtoT5c75xU6KTJLPymbdiQfO_h684E6jw6_dYw==,Canada; Ontario; Kitchener,2022-08-26,,02/11/2022
193,evolutionQ,Quality Assurance Test Automation Specialist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPhmcdorGLZf8kp6vehcWLGFB1gPUj-ORGXDVHt_DQXhCv0c0RZc-vK0DH-cVSNR-rJRNWQKx5hlUHezLAihA2ASlF0EgfwAQbdpUH8mC-i3VB3G_xgWjfT55fy1uuPcjOOrnggVvIwt_Flf4PEUR7x7Q==,Canada; Ontario; Kitchener,2022-08-26,,02/11/2022
194,evolutionQ,Software Architect,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPh1ziMin5_8SAi5CV0xz1sZpKFDubDCCQHEFFRNF-IHBOZsKFGHKpIdMnSpnGpGia-YRwGHlZLIAa0BXqewwsQnk2WN9WxA_clbY3MUlkvCGvYj0NlCHU6VPocoFkoJZtqr_tY5dJV1G4eQ48GisI5SQ==,Canada; Ontario; Kitchener,2022-08-26,,02/11/2022
195,ATOM Computing,Quantum Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXOyY1Di5SZYc351Vkn5M74l1OGCf18a761SbipnhTww_Oninr32nKmwi4kWgjTYYAIkeEYMsF2OFMTMMIfsn8dx1t0I-B_iDutzJWDd3CuWNsrT6AisHbAR1i1EZkn8mLej1gleY-yxfvSM8mqyd0DAHQ==,USA; Colorado; Boulder,2022-08-25,,02/11/2022
196,ColdQuanta,Payroll Manager,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPOc322oYUAemEglff2Q0-WgV6XETuQ-JkWgV5AHeL6qiiIIl69QuY1Gz5M6ZOtb_Mh_8_IxOLLLqfjKSg5RGr6luHi1s8akOgewd1kbPTy2zS_yjGjSThwS6kwuxTrf3EmNeX3jlIdk356hz-s1J2B2w==,USA; Colorado; Boulder,2022-08-24,,02/11/2022
197,IBM,Quantum Advisory Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQ2IwMdqxoA3w08WXJPc6loSuIev7vMOUJ5WUvqSG2etjwzOa-e0KH71NbnNNYIZFp050W0-Kq_YrjEUioEp48ODADsFyNwWV18mQUZxNVWBxHdxyxopFHAPhhTvJDNq9bcmLKcKb3uWEHepUcG7_llcQ==,USA; New York; Yorktown Heights,2022-08-24,,02/11/2022
198,IBM,"Quantum Research Scientist (Yorktown Heights, NY)",https://jobs.quantumapalooza.com/u/BgAAAAABjYXQ4sxvXHxeOkJMSVQoVtJ5hG0xyq47paDcHhWPHdEJm_T2aud94FDnMnwm6ejsWGavllrSXcjD-AEzqtGp1LO05IY8rVMqzsoCGWOT9-VktOPZGAZqHL7Ag0_Onw5iK3amueVflJSn4eUlIc0b3XHcYyg==,USA; New York; New York,2022-08-24,,02/11/2022
199,ColdQuanta,Senior Embedded Systems Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPTHFiGSLRukzwTwzKkH4utjWHVNZMgg6k4UBfH0bfJB0EC-RUHYFEftqtmc4JoiVG23teb-nwciFF_DNFBWh7YM7sswsFiPUcr_CU49Ohi9VayA7RiWV2JIyf21WNT2OthNOcREfj447vQeI3r6AYmwg==,United Kingdom; Oxford,2022-08-23,,02/11/2022
200,IonQ,System Operator,https://jobs.quantumapalooza.com/u/BgAAAAABjYXRpLqdtyPrhCHO5agvo9WRHKcAmUrUuWDrB8W3MrQe8TtOT2jTnk-IGmrt_3UdrVuknCLC3DLOjF-XABKsM6K2Ehy_gw3_NIrjNuSATuaTku9n5c-IP0kEjOhizPSptSERZ2DCgZRzTMCwGNLUbpXd_ZA==,USA; Maryland; College Park,2022-08-23,,02/11/2022
201,Riverlane,Senior FPGA and Hardware Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUinPkRRZdqKxB3DZiTHTXcgu4lRhxYJdDaJGlAuvr1FowEzOOpyZfNJfIgD-8a0B-IvqrPv0XcB4gqerissP0xu9SrNxg08P3GYQYhEAQrO43cUQ4BoZ8lVy-r_r69RJDY123HY7TyzC4xyfbb934pAA==,United Kingdom; Cambridge,2022-08-21,,02/11/2022
202,Riverlane,Senior System Tester,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUj7Iv1BDAviy4nLS8ogTssfXKzY2LHuehvvhfSFUb9KLVzN1GvBwP0olOOg355KkLjuMcpQsxaSZnMCLRZWdm8oD_aXnjWmGIhj2kgiH2uJAQrAdPPIt_VzATsBp0kUdl3HS-0fjLvxhpCi8upJPIIXA==,United Kingdom; Cambridge,2022-08-21,,02/11/2022
203,SandboxAQ,"Program Manager, Residency Operations (Fixed-Term Contract)",https://jobs.quantumapalooza.com/u/BgAAAAABjYXUp8jnmLoFMQfb5zquIAu-q2j9zGnvBiX0mHeA0s6L9ZzIRcCMpLkhwFAM8QPkPUXcmd1r2OHBBrNsmRxOwsLg2iejNmoTtb3IqkGkQI23If7Cy1JR-MEokFNol0Ig9MGYqMXSfeC5rsBVVNstSzlY7zg==,USA; California; San Francisco,2022-08-21,,02/11/2022
204,Booz Allen Hamilton,Post Quantum Cryptography SME,https://jobs.quantumapalooza.com/u/BgAAAAABjYXO7scV3T7WwJd5T5PSUtteCijGSc1q5YqT3KnX2VjOh8DQT8aX5oWenoJTmnaPguw0ozPDOKktXd7ggiH_AUqHy0LR2JqoNeU_3qg7sP5bdcLYBD5eVnzIGrtlG0mIRI7I6xF4o2iLaq2eiL06In3v7RA==,USA; Maryland; Annapolis Junction,2022-08-20,,02/11/2022
205,IonQ,Staff Quantum Applications and Solutions Scientist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXRj-4c4u7Lh2Ks_Suw2rWXEidepla55cwN0UQbR6kAddcpRwwD3_GYEApnB3qUPWsrjK7evZhm0XoaDFhgSxGHt1VNH5nkkXQd3w1kAv2sivHFwOz-PZQwXj2aeJJob-ZGqLmoMY_1Ggt8XpJJlsaOFvA==,USA; Remote,2022-08-20,,02/11/2022
206,Rigetti Computing,"Director, Information Technology",https://jobs.quantumapalooza.com/u/BgAAAAABjYXUWVdUtc1a4CuynRKLwOu4ucbTDzaWYQZumure3vKKUDbvgK8faSovzmp2f-gN0ls_AvUQyf3Jcgxc1ibg-UKE8m0kMlG13hPDadfA1hgt82LqDzAIneWNEWqzRK09W6sVCFY71Wx1S15xsjKn8t42A8w==,USA; California; Berkeley,2022-08-20,,02/11/2022
207,Riverlane,FPGA Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUe3aSZt3oNPYa8y4eJ16dtowizXdx5F5tgAshs06TCUGjF6PEbB4hYVquVeMg_S2NyuftZtkJDtyHMZw2ry7z9siiFp5NAb5CGtTBWqv8vjkBvniXUA3yokHn_YrFYSx5KI2vCo4WXTgTAMiYtKTqOfg==,United Kingdom; Cambridge,2022-08-20,,02/11/2022
208,Riverlane,Lead Verification Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUfXD00lwVBxdPh8UGuCUbnLt_elZV7vN8KsmOAFnKuCG52R9E_vzVAFMUQykqEBADyLC70c3ICeV0L8bxLfh7xnx1tc9pcvhjQvEbfhcZ4-YwPHjl9CI77xAyG3aQ3UGp-vJl7GYw2-VvMJipm66e4Bw==,United Kingdom; Cambridge,2022-08-20,,02/11/2022
209,ColdQuanta,Quantum Mechanic,https://jobs.quantumapalooza.com/u/BgAAAAABjYXPQdZKGG596ReLX2veJRQzZMubuC-Jko-Ly1lmDvSIDqP_uSiV2qWwUjFIZn_uTfqhsiMplYw-F4fvouV1GlS7wE70T6JauqmUjnNkpPxcm1xg-pgiuUziYMH8dvzDbNBjGoUcYlced6YFLerNiBFHMGg==,United Kingdom; Oxford,2022-08-19,,02/11/2022
210,Honeywell,Quantinuum - Lead Optics Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQYd_NOQD58OIkoXvdR3_1-lPbzssYzercu3O8-Nvvim5h42o-d7UYnpzrSX_UQoATEDUWl-0T1i4bKQyzxYwXyNoR2PQ4p-GB1bV98M16SqEKNfQ1p7ktdG4tdAR8WAiX4s4YQLthe5EGfiqvVj5sv4w==,USA; Colorado; Broomfield,2022-08-19,,02/11/2022
211,Honeywell,Quantinuum - Lead Physicist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQZ2Rqqa7CwHDtls9gFYX9vOBVYrYjBeakbhVys47BqOo0Rrgl_qwPlrl4F16uA7c1rmN4vaNYcDG_TO-2oSleLmaLmCnLiZxIiFp1jmVaeQbSEOlIdP7jzfl9G-fTp3uw51f5l3K4V4Xg5LuuXVuDsMA==,USA; Colorado; Broomfield,2022-08-19,,02/11/2022
212,IBM,IBM Quantum Entry Level Software Developer 2023,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQuhFpoeANiDB92hxSOoxmAtQH-J87cu_2hGgnZQagAHAZU5utFYFiih3mNF2CzgmCcZ8W4wGRaHud_30NJnUcAWfCgscy7m4urvdlZ15HcXCv48nh4W5ABPlsJMdMu1-9T6KJI_0twuXBDRXwlg7f8EQ==,USA; New York; Yorktown Heights,2022-08-19,,02/11/2022
213,IBM,Research Optical Proximity Correction Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQ6d0-9ZjFqD32CcuHIX5HCHZK4Jbqmihx60uuVVro7VGO-L29g8yO_ikoExuzGL2hlRlRuoDf7036nzeoGp739pdnpx5dtHHhq3of7scry5PCDhz2iV0ComZhYZjfYlP5xDp1Ab5wgFGqsfXLPispaoA==,USA; New York; Albany,2022-08-19,,02/11/2022
214,Microsoft,Senior Packaging Engineer - Quantum,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSGAfXs8uiWypWFihnLFSLED9gUtKOiH-IaWAdAK1mqJ0oebu05_LtII7eESWgZlm4E0XRwgGjEd6aFqcbDavUXIWgxyIPN-kALXxwvgJMbBmolCVuTY07WxqZx5Pi2bZqtwgtMR5rA4c9b6Axz7lELiQ==,USA; Washington; Redmond,2022-08-19,,02/11/2022
215,Northrop Grumman,Associate Superconducting Physicist/Superconducting Physicist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSbByNVe3ZUDGAv806vGLOqwZ5AdDA2PnnIdINczq68kcyYFO3DgZ8-YeMWWpYCW3dlmz0ed7TU87GxqGjgvgz_gq2U36z2lR4Rn2Kui2yrTqvusW85e1Echdrls0FCuRbt9y6SNBW6Y5kSFAYDN9JrJw==,USA; Maryland; Linthicum,2022-08-19,,02/11/2022
216,Northrop Grumman,Principal Engineer Test Quantum,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSfmWbcBcrsuusbuWIEwTKNc8V724JywuycFrvAakiuBNW5YMu1wiX2HpVI6hlIlP0F9a_Reo8h4egQIvyGNV1inU_K3XFcoXAD-MZWSikzdymv1GEmqPMC9SD0kzcyCeXNyeiID-Fm541JLnfAjHyIiA==,USA; Maryland; Linthicum,2022-08-19,,02/11/2022
217,Qrypt,Senior Marketing Specialist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXTv4BwnGImOMfbqbr94IGw7g5JXe6Bfv97_k39qJvA0kkotmPv8-CNabT8dpu_QkvCwXxvTNp9xWx0mn_SiJPfBAB9OK61HB9ebGCKlVUfd06FjvftdzLapF9GghsqX2dLf6i_lAH4vK3O8jspyHzJJmw==,USA; New York; New York,2022-08-19,,02/11/2022
218,Quantinuum,Scientific Software Engineer (Quantum Software),https://jobs.quantumapalooza.com/u/BgAAAAABjYXTypK0lFCSrd8l4JQShm_ijEapvKPX9RpaRz1oOxCLGOXWun6Uywwnkva72cO1cP4d34K_TKJtXtrATJL0bA0aqREFxBtKfeTt4i2VUYPmuaEGMmMQmLzZYZSoHGnG0a1mnwsUaWFIswcj3hjBo0cO-1g==,United Kingdom; Cambridge,2022-08-19,,02/11/2022
219,Zapata Computing,Visual Analytics Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXV5R_NvKwLcQC_fhjjX-wjzRvG6v4c48DGLOzY2Ei7gL4kOD0pLijkf_89UxBnu1qEQz65npkAHyTSdThdRSQ9TZ_eHXk2c0ctaM3xb02Sd94lI-VkJJ_18fSEKNhL6XHBUk1Te1lYWsEclUKsnkAd_qg==,"USA; Indiana; Indianapolis
USA; Remote",2022-08-19,,02/11/2022
220,IBM,IBM Quantum Industry Consultant Financial Services (f/m/x),https://jobs.quantumapalooza.com/u/BgAAAAABjYXQumQzZDgAwBEkrJ6ukohaTFicLozPYnG12x-RsoFebee_jTXkQKNbj415y4FDCac6shPDvJkBUDVv8RbrPcnwUTq_je5OPuLjoxsQrp9Zeo7gxHsS6w15Wy7vc8Vf4w4DiOVsjkWYZAJWnAhR1Ych8Hw==,Germany; Berlin,2022-08-18,,02/11/2022
221,Northrop Grumman,Associate Physicist/ Physicist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSaroNnR7mOdL7y9TAWbl77Fmb1Rc6xymL87jXBy9JWkkwz-m5Vsxp5GWGAty5dDgFSSkKLxAubC7bZHGNN8DpqBQJb611sRDJSdjD8RJEqFKwndcOubhbryC2dyw4WthYyIbEsdzPepYEkVyjt-FnqEg==,USA; Maryland; Linthicum,2022-08-18,,02/11/2022
222,Northrop Grumman,Sr Principal Engineer Test Quantum,https://jobs.quantumapalooza.com/u/BgAAAAABjYXSjWIkzYaKdP1eTGD06dhfe4NkNuRuEnH_L1p7IbCqH5TDdRldpbCB8lYM3tjj0tTX7Ljuz5BZ7kC8OfHmV9BL6NZOC9yDwCtnv2A0FmMPpDl7559DlwIuFWQveFqdzaIFU7EhH4wnzb90FDNLm5bompA==,USA; Maryland; Linthicum,2022-08-18,,02/11/2022
223,Riverlane,Senior Frontend Developer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUidwSryi0TAw7IFmZrcmulyErhtsa0tDoUBDnL0fFzAah_21lf-QYOk2u3EfxRelhts_og8Tqofb5VfuPZVRr9D_pyk-_zT_QQgOXHplOrCysc64dw1q3Jvt9F2lBNnD7mkldP1qBYL4yk23j3Mbp4sQ==,United Kingdom; Cambridge,2022-08-18,,02/11/2022
224,Bluefors,Site Planning Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjYXO4OOTvzEZ_KXfn-67igSlmtiU6qBDRih6zwbNZiPa8BP1flNLDmpKgW-oMBzLIdRPOrJ9MFYCXhCx_zca_a0yWYSFelIwhjXxX3MYRO88-2aynmmfglX7R49mPOFylntXNe5yEJvdLAPAoUTpmj_uScg==,Finland; Helsinki,2022-08-17,,02/11/2022
225,IBM,Quantum Research Scientist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXQ3s3eDeu4zAYewUe51bveHrTwhQSRQSyseu-wERDbSqmqP2RKj5mu6PzUDYEYqCcGwz8KrG0ajxmvi-HzvpWGfxV47v-UsBq4ZcCoZ2DSJTfPijUvIaRo6p5fFPRdffHF2yXaFgDaQAxtmSi9goVM6jg==,USA; New York; Yorktown Heights,2022-08-16,,02/11/2022
226,Quantinuum,Office Administrator & Receptionist,https://jobs.quantumapalooza.com/u/BgAAAAABjYXTxcu7Jfjj-UOOxLIs0uAH7CzhTU4DTLjVEayqU3fggPQnyZPQDBwTymDJBZB8N3W88Z6dR7gyCsRQ1R_d5MU_YrVgNJ8WgOaEO95s7QjjERYMgbJ35u8NoST66gA28Y_9pvasADVdfsvka_A2vPrbl3w==,United Kingdom; Cambridge,2022-08-16,,02/11/2022
227,Quantum Machines,People Business Partner,https://jobs.quantumapalooza.com/u/BgAAAAABjYXUCe3SOszel7_JrPqgpcIuj9nt1-JxnIHdPhu1bDVsHXAaDKQYAHOgaQkW8cZSv3JRPBd82CrqCvByunOEVfGR5U4w4heGUtaL1MTjAx6vQVnMbGSMXAatHtR3O9QmV_sDNv7yhegse9OWS-7NeQVI6Xw==,DK; Copenhagen,2022-08-16,,02/11/2022
