,scrapped_jobs,official_match_title,distance
75,"Research Fellow [Theoretical Quantum Information Science], Centre",Bioinformatics Scientists,164.60657
76,"Research Fellow [Theoretical Quantum Information Science], Centre",Bioengineers and Biomedical Engineers,167.30417
77,"Research Fellow [Theoretical Quantum Information Science], Centre",Statisticians,167.62506
78,"Research Fellow [Theoretical Quantum Information Science], Centre",Remote Sensing Scientists and Technologists,168.3195
79,"Research Fellow [Theoretical Quantum Information Science], Centre",Fuel Cell Engineers,168.58292
80,"Research Fellow (Theoretical Quantum Information Science), Centre",Materials Scientists,144.60748
81,"Research Fellow (Theoretical Quantum Information Science), Centre",Nanosystems Engineers,146.26993
82,"Research Fellow (Theoretical Quantum Information Science), Centre",Astronomers,151.884
83,"Research Fellow (Theoretical Quantum Information Science), Centre",Telecommunications Engineering Specialists,159.31851
84,"Research Fellow (Theoretical Quantum Information Science), Centre",Physicists,162.16585
85,"Research Fellow (Theoretical Quantum Information Science), Centre",Bioinformatics Scientists,164.60657
86,"Research Fellow (Theoretical Quantum Information Science), Centre",Bioengineers and Biomedical Engineers,167.30417
87,"Research Fellow (Theoretical Quantum Information Science), Centre",Statisticians,167.62506
88,"Research Fellow (Theoretical Quantum Information Science), Centre",Remote Sensing Scientists and Technologists,168.3195
89,"Research Fellow (Theoretical Quantum Information Science), Centre",Fuel Cell Engineers,168.58292
90,Research fellow and centre,Astronomers,138.59338
91,Research fellow and centre,Materials Scientists,138.98233
92,Research fellow and centre,Physicists,147.8816
93,Research fellow and centre,Nanosystems Engineers,148.6524
94,Research fellow and centre,Biostatisticians,170.31049
95,Research fellow and centre,"Agricultural Sciences Teachers, Postsecondary",173.79433
96,Research fellow and centre,Bioinformatics Scientists,174.66275
97,Research fellow and centre,Survey Researchers,177.29384
98,Research fellow and centre,Remote Sensing Scientists and Technologists,177.61246
99,Research fellow and centre,Statisticians,177.72934
100,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Materials Scientists,180.85071
