,distance,number_of_the_match,official_code,official_job_name,matched_Title,matched_Description
33,182.24503,1,29-2011.04,Histotechnologists,"Research Fellow (David Wilkowski ''s Group), Centre for Quantum Technologies #Urgent",
34,73.832634,1,13-1082.00,Project Management Specialists,Project Lead,
35,177.03534,1,15-1221.00,Computer and Information Research Scientists,Research Fellow (Multi-party Quantum Cryptography) Centre for Quantum Technologies,
36,100.24539,1,25-1054.00,"Physics Teachers, Postsecondary",Intern - Physics Undergraduate R&D,
37,90.0354,1,11-3031.00,Financial Managers,Account Manager,
38,33.969666,1,13-1082.00,Project Management Specialists,Project Management,
39,60.878044,1,13-1161.00,Market Research Analysts and Marketing Specialists,Marketing and Research Coordinator,
40,45.011192,1,15-2051.01,Business Intelligence Analysts,Business Analyst,
41,164.05968,1,25-1032.00,"Engineering Teachers, Postsecondary","Research Engineer, Intern - Career Fairs",
42,105.60034,1,29-9091.00,Athletic Trainers,Trainer,
43,215.29677,1,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Associate Consultant (Entry Level): Toronto/Calgary/Ottawa,
44,162.8743,1,17-2112.03,Manufacturing Engineers,Research Engineer - Career Fairs,
45,151.43126,1,17-2199.07,Photonics Engineers,"Research Fellow, Quantum Communication Theory ,Centre for Quantum Technologies",
