,scrapped_jobs,official_match_title,match_code,distance
63,Research Fellow (Theoretical Quantum Information Science),Physicists,19-2012.00,157.83356
64,Research Fellow (Theoretical Quantum Information Science),Nanosystems Engineers,17-2199.09,164.90042
65,Research Fellow (Theoretical Quantum Information Science),Sociologists,19-3041.00,170.09201
66,Research Fellow (Theoretical Quantum Information Science),Economists,19-3011.00,170.96155
67,Research Fellow (Theoretical Quantum Information Science),Telecommunications Engineering Specialists,15-1241.01,171.81137
68,Research Fellow (Theoretical Quantum Information Science),Statisticians,15-2041.00,173.57657
69,Research Fellow (Theoretical Quantum Information Science),Geneticists,19-1029.03,173.98184
70,"Research Fellow [Theoretical Quantum Information Science], Centre",Materials Scientists,19-2032.00,144.60748
71,"Research Fellow [Theoretical Quantum Information Science], Centre",Nanosystems Engineers,17-2199.09,146.26994
72,"Research Fellow [Theoretical Quantum Information Science], Centre",Astronomers,19-2011.00,151.88399
73,"Research Fellow [Theoretical Quantum Information Science], Centre",Telecommunications Engineering Specialists,15-1241.01,159.31853
74,"Research Fellow [Theoretical Quantum Information Science], Centre",Physicists,19-2012.00,162.16586
75,"Research Fellow [Theoretical Quantum Information Science], Centre",Bioinformatics Scientists,19-1029.01,164.60657
76,"Research Fellow [Theoretical Quantum Information Science], Centre",Bioengineers and Biomedical Engineers,17-2031.00,167.30415
77,"Research Fellow [Theoretical Quantum Information Science], Centre",Statisticians,15-2041.00,167.62509
78,"Research Fellow [Theoretical Quantum Information Science], Centre",Remote Sensing Scientists and Technologists,19-2099.01,168.31949
79,"Research Fellow [Theoretical Quantum Information Science], Centre",Fuel Cell Engineers,17-2141.01,168.58295
80,"Research Fellow (Theoretical Quantum Information Science), Centre",Materials Scientists,19-2032.00,144.60748
81,"Research Fellow (Theoretical Quantum Information Science), Centre",Nanosystems Engineers,17-2199.09,146.26994
82,"Research Fellow (Theoretical Quantum Information Science), Centre",Astronomers,19-2011.00,151.88399
83,"Research Fellow (Theoretical Quantum Information Science), Centre",Telecommunications Engineering Specialists,15-1241.01,159.31853
84,"Research Fellow (Theoretical Quantum Information Science), Centre",Physicists,19-2012.00,162.16586
85,"Research Fellow (Theoretical Quantum Information Science), Centre",Bioinformatics Scientists,19-1029.01,164.60657
86,"Research Fellow (Theoretical Quantum Information Science), Centre",Bioengineers and Biomedical Engineers,17-2031.00,167.30415
87,"Research Fellow (Theoretical Quantum Information Science), Centre",Statisticians,15-2041.00,167.62509
88,"Research Fellow (Theoretical Quantum Information Science), Centre",Remote Sensing Scientists and Technologists,19-2099.01,168.31949
89,"Research Fellow (Theoretical Quantum Information Science), Centre",Fuel Cell Engineers,17-2141.01,168.58295
90,Research fellow and centre,Astronomers,19-2011.00,138.59338
91,Research fellow and centre,Materials Scientists,19-2032.00,138.98233
92,Research fellow and centre,Physicists,19-2012.00,147.8816
93,Research fellow and centre,Nanosystems Engineers,17-2199.09,148.6524
94,Research fellow and centre,Biostatisticians,15-2041.01,170.31047
95,Research fellow and centre,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,173.79434
96,Research fellow and centre,Bioinformatics Scientists,19-1029.01,174.66275
97,Research fellow and centre,Survey Researchers,19-3022.00,177.29385
98,Research fellow and centre,Remote Sensing Scientists and Technologists,19-2099.01,177.61246
99,Research fellow and centre,Statisticians,15-2041.00,177.72939
100,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Materials Scientists,19-2032.00,180.85071
101,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Physicists,19-2012.00,183.61235
102,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Astronomers,19-2011.00,188.41037
103,"Research Fellow (Cryogenic Ion-based Clocks), Centre For Quantum Technologies",Nanosystems Engineers,17-2199.09,189.16705
