,countRef,openDate,sector,europages,company_class_1,employer,employerType,jobTitle,type,countries
59,60,20220803,,,university,universitat hamburg,U,research associate for the project quantum-computer-demonstrator rymax,A,DE
60,61,20220721,a technology company,,company,ibm,O,ibm quantum industry consultant manufacturing (f/m/x),A,DE
61,62,20220614,a quantum computing hardware and software company,,company,oxford quantum circuits,O,hr specialist,A,GB
62,63,20220726,a cutting edge technology company,,company,quantum detectors,O,mechanical design engineer,A,GB
63,64,20211124,,,,fraunhofer-institut fr offene kommunikationssysteme,O,student assistant (m / f / d) for the field of quantum computing,A,DE
64,65,20220305,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,deputy director of research - national quantum computing centre,A,GB
65,66,20220505,,category other,,infineon technologies,O,doctoral thesis: digital control electronics for trapped ion quantum computing (f/m/div)*,A,DE
66,67,20210821,,,university,university of oxford,U,postdoctoral research assistant in thermodynamics at the nanoscale,P,GB
67,68,20220930,a high-tech startup,,company,q.ant gmbh,O,talent acquisition manager / recruiter (m/w/d),A,DE
68,69,20220930,"an educational
institute",,university,dresden university of technology,U,research assistant (m/f/d) in the bmbf project wavelength conversion in quantum internet,I,DE
69,70,20220127,a quantum computing hardware and software company,,company,oxford quantum circuits,O,electronics test and deployment engineer,A,GB
70,71,20221126,Developer of quantum computing technologies,,,oxford ionics,O,senior mechanical engineer,A,GB
71,72,20210618,research university,,university,technical university of braunschweig,U,"w1 with tenure track w2 junior professorship for experimental physics, quantum materials",F,DE
72,73,20220718,,,university,university of edinburgh,U,research associate in cmos single photon sensors for quantum imaging,A,GB
73,74,20220801,,,university,university of oxford,U,postdoctoral research assistant in quantum device simulation,P,GB
74,75,20210814,,Manufacturer/ Producer,,bayer,O,postdoc machine learning methods for quantum chemistry (m/f/d),P,DE
75,76,20211029,"an independent, non-profit research organization",,,max planck institute for nuclear physics,O,post-doctoral research associate (m/f/d),P,DE
76,77,20220719,"an integrated business from the hardware development of quantum computers, software development and provision of services",,company,quantinuum,O,quantum machine learning scientist,A,GB
77,78,20211220,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,postdoc - scanning probe study of exotic quantum phenomena,P,DE
78,79,20220120,,,university,imperial college london,U,research associate,A,GB
79,80,20220902,,,university,leibniz universitat hanover,U,juniorprofessur (m/w/d) fr quantum learning & algorithms,F,DE
80,81,20210515,a leading global financial services firm,Service Provider,company,jp morgan chase,O,applied research engineer,A,GB
81,82,20220514,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,phd student - silicon photonics process technologies for (quantum) sensors,A,DE
82,83,20210714,"electronic capital goods for industry, infrastructure operators and government customers",Service Provider,,rohde & schwarz gmbh & co. kg,O,research & development quantum computing security (m / f / d),A,DE
83,84,20210409,,,,kets quantum security ltd,O,part time chief financial officer - contract,A,GB
84,85,20210306,Developer of quantum computing technologies,,,oxford ionics,O,quantum scientist (applied),A,GB
85,86,20210925,,,university,imperial college london,U,research associate in atom interferometry,A,GB
86,87,20210427,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,embedded software engineer,A,GB
87,88,20220315,,,,paul-drude-institut fr festkrperelektronik (pdi),O,"master thesis: epitaxy of (in,ga)n quantum dots on ultrathin gan nanowires for single photon emission",A,DE
88,89,20211110,,Manufacturer/ Producer,,schfter kirchhoff gmbh,O,"phd physicist (m,f,d)",A,DE
89,90,20220411,independent quantum computing company,,company,cambridge quantum computing,O,"senior partner manager, quantum software",A,DE
90,91,20220305,provides businesses with an easy on-ramp to quantum and hybrid computing,,company,quantagonia,O,research engineer (m/w/d),A,DE
91,92,20220809,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,research assistant (m/f/d) in the field of quantum computing and quantum machine learning,A,DE
92,93,20220809,a German research institute of Engineering,,,max planck institute for dynamics of complex technical systems,O,postdoc position (m/f/d) | learning and optimization for dynamical systems at the molecular scale,P,DE
93,94,20211220,,,university,durham university,U,postdoctoral research associate in quantum light and matter,P,GB
94,95,20211001,,Manufacturer/ Producer,,bayer,O,research scientist - machine learning for molecular representation learning (m/f/d),A,DE
95,96,20221026,,Manufacturer/ Producer,,physikalisch-technische bundesanstalt (ptb),O,scientist (m/f/d) with a doctorate in the field of quantum optics or laser physics,A,DE
96,97,20220305,research university,,university,university of siegen,U,researcher,A,DE
97,98,20220104,,,university,university of cologne,U,phd position (f/m/d),A,DE
98,99,20220129,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,talent researcher,A,DE
99,100,20220429,Developer of IoT security technology,Manufacturer/ Producer,,angoka,O,project manager,A,GB
