,distance,number_of_the_match,official_code,official_job_name,matched_Unnamed: 0,matched_organization,matched_position,matched_link,matched_location,matched_date_added
44,126.898315,1,17-2199.05,Mechatronics Engineers,44,Keysight,Software Engineer - Microwave/Quantum EDA,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kz6pD-Ctp-RT7ZjKJ05gy87rkvgqWk5hUI2mBAgHTKz9YtpHFqutC1EV5H8trmab9tkpfocr7QpI6TecFTCrgnSd4RTr27fu8eJzBPcDdrJbZkI9eHbUUtS4vLuYxeUtLCYa78CvBuEJoQJHjf6c9eqA==,USA; Washington; Everett,2022-09-23
45,107.5397,1,17-2199.05,Mechatronics Engineers,45,Google,"Microfabrication Process Development Hardware Engineer, Quantum AI",https://jobs.quantumapalooza.com/u/BgAAAAABjS-i-huaCbJhABrl4raYrjvKCFjNCjnY4_SLAfJrzH1-59ORrF-SqSDjto5UB2OlblxVRXbnuOEd0dNsmeDbdYdzsMwcoBmwws6iqlg3LmFplVJXgaBsconmkSr3GOg3sFiwgT42BcOeUJ3uz5LxtUMW7mA==,USA; California; Goleta,2022-09-22
46,139.48303,1,17-2072.01,Radio Frequency Identification Device Specialists,46,IonQ,RF Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kQC45ZwqCI88lIHIT3mnD2oZlkrwf8kr_lDQayz9oa0RpLY-pIO2KlgznhFFMrZW74PlM9K-oKTagjG-C7VRo4lBSyqlteSK78Z64MXjwsej22uX32g-yH5FbpZsR4-mRRPnasvdzGvuhvrVpjTwXU4A==,USA; Maryland; College Park,2022-09-22
47,98.43716,1,17-3027.00,Mechanical Engineering Technologists and Technicians,47,IonQ,"Staff Engineer, Optomechanical",https://jobs.quantumapalooza.com/u/BgAAAAABjS-ki4qKFIIa50eXaYTrPlGHeZ57tX3d_-q2haNyynYBAlXchpezfHcrdawnRtkWEJ9i_0SGlvGbno4soD5ZVVm_NQXDWH4cTtmvWFNvLY7pmM81PbWJECChGwWgkjiP_KDcSUXtIV6UZkoa6uQOhamQD4w==,USA; Maryland; College Park,2022-09-22
48,59.77475,1,15-1252.00,Software Developers,48,Keysight,R&D Software Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kxxGTRtq_Q2rkD-ywFFXrZxb5QWkiD2D-TP_hCFlv3DsHsrTQoDS9z0WWKLpGoEN838aP79mhvW06WTeH40xH-579iu9g5DxeY9IaMt6r8xXI0n6cNXI7yRwt6pY_Bdo2HP69cZmJMQADJ6mtrYkmQ8g==,USA; Massachusetts; Cambridge,2022-09-22
49,225.26044,1,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",49,Cisco,Quantum Postdoctoral Researcher/Intern,https://jobs.quantumapalooza.com/u/BgAAAAABjS-iJNf_ccM50H7OlVetOkjDsiQwWURAMgu1G7tQT-fyrPbQ36n4Pp2q1xpksl3P4MZp0FZmccU68QKCsm2_WLNh8udCPtg4F_WqQQKLq3F3mOuw4kemPwUKj5vajCDokUEpJVHVerpNGlgAhKUVkqUckqQ==,USA; California; San Jose,2022-09-21
50,135.77374,1,17-2112.03,Manufacturing Engineers,50,IonQ,"Staff Engineer, Optical",https://jobs.quantumapalooza.com/u/BgAAAAABjS-khjjbRb6N8jg2TFDeIxPMLcpLXyf_revni3lmNzqSkO9KY4565m3vGunNl11vwVyGFMrSV3ZLUfHIueDMCd7BbMxCl0FDkkD7kdSwKdeDzwde4x17yA_TvaRGbYCPBKEjcEm6VkndbTx-9ZYmuiMjYMA==,USA; Maryland; College Park,2022-09-20
51,167.59338,1,19-2012.00,Physicists,51,Northrop Grumman,"2023 Associate Transformational Physicist Linthicum, MD",https://jobs.quantumapalooza.com/u/BgAAAAABjS-le5gbEDqPfA4DX-Jnfxsw7XsuZdTU3hWTTpUYHpCgMdafcZoTCYuqk7zTvxf7HBq9b4z6p25_6NDrAFPF3OhZcqL1E8wNJyN5cSnRIQ7TWNMT9l-8FrxM9osrUh6AouFd6pJSmflhA-VF0yXxAuQW1gA==,USA; Maryland; Linthicum,2022-09-20
52,176.74268,1,17-3026.01,Nanotechnology Engineering Technologists and Technicians,52,Boeing,Boeing Research & Technology Graduate Researcher Quantum Technologist,https://jobs.quantumapalooza.com/u/BgAAAAABjS-h8iy4m9ryYAWrV_HvvkKBGrvbZ8_KnwSVYYksLE4_kp0TCZbBmpnBP2IjMqRq728J4CD-RGRI-mhy2OmWwAU5XQGA1_3dM18xkCj6C3uJ3_oLYo4vcSHUyw_M7oLGF_gI0YIVo7eMEROWJigxxsSlYaQ==,USA; California; Huntington Beach,2022-09-17
53,178.5229,1,51-2099.00,"Assemblers and Fabricators, All Other",53,ColdQuanta,Full Stack Software Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-iPSB40gxSVsqstmRZCu8xc2MspkOYdgIp69RjoCXRqe4QThDhrmhQssNY0nlfM9D_2_6KxTiwZYloN-SaaCBW_wZ71sU_ZQyBiPEAWlji_7KUKJFsEQpbpHoE-Lpk798bsHE_kClRH8DLnmBTZ9deBEA==,UK,2022-09-17
54,103.57072,1,17-2112.03,Manufacturing Engineers,54,IonQ,"Engineer, Packaging",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kGRw5NgjPFZ9RMKGSxYKOhHi_HI8cxpMhqg4fsmwhq-ALTF0Uv1YTf4toLtXuT1JBVEJ1T9f3X6ygAmKcLwRZg9MHFYgzhaItOHIiS-I8zBbd2i_zvdIsLFeFHUXo4YEv86I0yA5jdmDzgv1p3mZ5T1Q==,USA; Maryland; College Park,2022-09-17
55,102.07176,1,15-1253.00,Software Quality Assurance Analysts and Testers,55,IonQ,"Principal Software Engineer, Compiler",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kN4CNG8NWAQjQ5fUiy0CW2qHhBhym1rKsNF-0ewFCtPLIw3KmMD_NpCW7efF3G_TdywefXODaQzOnt9JPQBmwF7zDvmsBrmo41M34BH_M7TQ_8JXQaoqbAqpGU9aOicw3AqdnRxG2kfQuVl-qjhBJi1Q==,USA; Remote,2022-09-17
56,102.07176,1,15-1253.00,Software Quality Assurance Analysts and Testers,56,IonQ,"Principal Software Engineer, Compiler",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kNDzLPInRfyWJcOjinI4qk7AhIrSdvAAHhQ787AdPArqnqui9QsG_3RkpJurdfxrwgYzjJsBvQKDhp-2OhVZZPEwpT39jB8YmCCobdM5rHZ2a3J2tiOTr3EqeEhBBxQLhw9JaIWxKQKpvo0kPQF87g1g==,Remote,2022-09-17
57,99.66727,1,27-3042.00,Technical Writers,57,IonQ,Principal Technical Recruiter,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kO7fH2f84xj5-JqSVdeR8JeebOsz7Ris8Yw14rMgT9ieb6IEdRJnCejKBrUbH7IfSqEZj0F6iREr5LrltOE9A2__M55cGyh45sJ44GNz48DF83EuysCbuvajcBcUQNWRk5exOMhJJYk3aWuRRgeqeCbQ==,Remote,2022-09-17
58,162.34213,1,17-2199.07,Photonics Engineers,58,IonQ,Quantum Error Correction Architect,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kONHBSuunDhYb1Ut4dL3tY4cHYj2YO0J5lq22QgrR0FZtnO0OmJ9u1DRS6aDZcdmb_MbAJ8WjBAoXNyin5wto03ZadZHxoTml700BBBn2S-0nFabz8pxRIC663OexEHjmwMKf_1H1PpKYUNuP4gLxEpg==,USA; Remote,2022-09-17
59,124.814255,1,27-3042.00,Technical Writers,59,IonQ,"Senior Engineer, Devices",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kT2QWNn0XMXLLK8UVI5pzyhMpUS2fVots-LH3ttqYFR6htTxCaqEPcdPIzENhOCNeVtqNpGnCEtJYlUET6bYNImj4KVp407OZX_q9eoMtHfbGFWAxuTs9RcvXL5URsObRB0P9HpqMCdmr2lkz2o6mArg==,USA; Maryland; College Park,2022-09-17
60,133.15703,1,17-2199.07,Photonics Engineers,60,IonQ,"Senior Engineer, Photonics Device",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kU8MKNTw-rC8NkmnrT3k_roN735l3oBazROZx20cu3uPBJDijV1o4pJzD-PXODxPz_hWY6G1Nz8PtKZLNbfh9FGulEr2ym-eYph8F1_dOb7Vm9qVpslDuQioCsqbZ2ouY63qoB_4wdxywj9UpnP1SMHg==,USA; Maryland; College Park,2022-09-17
61,152.44849,1,27-3042.00,Technical Writers,61,IonQ,Senior Frontend Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kUXYTOfYUfjx0KyhdPFm_IpHcCZlZ0LyRV9OiVTowV5V2sGsFpmVAcel4xxQfYEhcZnHk5YvOs1t3-7MCZEgR1ijqL2RDXAFxuvozIKUjXiRrsHNPx3TqhEzTIM8wnU0ENriLYaF8cDKp52qn9OEYC_g==,USA; Remote,2022-09-17
62,98.8154,1,15-1253.00,Software Quality Assurance Analysts and Testers,62,IonQ,"Senior Manager, Software Engineering, Automation & Calibration",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kVuCA-hx0UoOcSJHxkgNtujzfTs1cedPVTdEHF-afcTlg7YcJvWBt7jSCkuR3zLGqGb9195BtEwbR_jwB1B-zmytIxweQDfpM0l4liZudXGP4fAIjC2gDix7idWyfZq5IMnA1PoYcR_rnSrITlb6mD9w==,USA; Maryland; College Park,2022-09-17
63,137.62991,1,15-1299.08,Computer Systems Engineers/Architects,63,IonQ,"Senior Manager, Software Engineering, Quantum Operating Systems",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kV8WtcSx2s8U7z2D-Bn0ep-xhkMAxkkUbFrbROPj2k09CsoRFBulwnSiegoHWLXa3b2ngoV0V0qb7AXJQQ2e_6Gjmw8qj0nb6J_ph_lAr--pw9o1IZiB89HIIh1EL9AZna8vqCY6xgw5rNbDxIZEa-7Q==,Remote,2022-09-17
64,137.62991,1,15-1299.08,Computer Systems Engineers/Architects,64,IonQ,"Senior Manager, Software Engineering, Quantum Operating Systems",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kWOgSpZI-vjIuucCvLkdK_H8vKrDHyU-kc9WzRhxt8zx2niKfG5BlUWN0DhXdOjt-1cZ7kytH8ibK3u-Kdo3OgDnUSqc4MqG0X5MIBlE1oKXqQCLII4a_KEiWXFIXmor27c5iWSE56vTeIMTcmX9Femw==,USA; Remote,2022-09-17
65,178.13438,1,51-9141.00,Semiconductor Processing Technicians,65,IonQ,Senior Optical Packaging Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kX0hbofX-zncecbjpDHR6kEt5yAdns0FZD0KPYkxtq8A1w7CypJ9DCES5eCGD7UYBrqGda039Jx4NKZP97Y0Ywyed6_dbg5U0cD0jYEblnIhsNqbhotl_L9lIsBA4phMeGM5G8d_WwmMkHD4qOSo9Kjg==,USA; Maryland; College Park,2022-09-17
66,103.06648,1,15-1211.00,Computer Systems Analysts,66,IonQ,"Senior Staff Software Engineer, Data Services",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kdJB8u4zmKsTZi-Yfvbl203T7zTUEGL_AHp1T11ktGjzoHiUFlqcSncCdO5W68thAjkZVrcyFkoOLDi3Pc4aObOTNHqI436BKLGLGeEtdoPbtiyulIlsZFpM2_i5FXg18D3BvEQIxbx2nk_80pluJMEQ==,Remote,2022-09-17
67,112.675095,1,15-1253.00,Software Quality Assurance Analysts and Testers,67,IonQ,"Senior Staff Software Engineer, Site Reliability",https://jobs.quantumapalooza.com/u/BgAAAAABjS-ke01fhJroyyyTT76r2NFOfoEGSerHtZGtBTr3yxAj4b77h2DdEOHHbiH0S6wtR5Taq2RKaT6Z0R-ePHc3c-UA7eJaDCFdUaW5nkgyHVfjk-n60-kkz91ELFlPAddYCFkQ-HBFeUXRt8CNCe4fGQBOKSg==,USA; Washington; Seattle,2022-09-17
68,99.973206,1,17-3028.00,Calibration Technologists and Technicians,68,IonQ,"Staff Engineer, Integration and Test",https://jobs.quantumapalooza.com/u/BgAAAAABjS-khQcHuR-Jrt6DaEdqzAvhpaTTlX5o-OgNJocxPQAoKJI0k7UT78l0RRVqyhO4Cm1m_THIWz3Bc3VGMN5Xi0m--PI9ZON9_zT_P3rKUDNkjz1Aa8WaerPMkY-yE3otAqfmIgLMclseL36RrNihBDzxMOg==,USA; Washington; Seattle,2022-09-17
69,146.7425,1,17-2199.05,Mechatronics Engineers,69,IonQ,"Staff Engineer, Quantum Error Correction",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kiq5tgLU16SA8nTZyhFWnmjmdXmOIF2NUXUjnjpnmDB7Sv7a2rhOY74KsyDXlynwPIMLnV7ATVX5ct3bx_b6YS2Zf3ein_1jzakXX1GcOZQstrcf9O5y0in1LfyFKX6z5P4mosL2NUTKBTp5ssLrF44w==,Remote,2022-09-17
70,95.02577,1,11-9041.00,Architectural and Engineering Managers,70,IonQ,"Staff Engineer, Standards and Benchmarking Specialist",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kjlaFe7fpFpR9Ead9qIpysPJzY5NZMy38Oj4t8F18FOrbvHlh_FWCCdJbJrqEgEJ4vZCYgh_fhhU23MPZ5znPdF3Mu6aCfaBXNgIBwwrrXjBEiNIeBqj2KT14PxmULlIvTtoJ15kjcW-BRSQpmfXAKBA==,USA; Remote,2022-09-17
71,119.529564,1,15-1299.08,Computer Systems Engineers/Architects,71,IonQ,"Staff Software Engineer, Digital Signal Processing",https://jobs.quantumapalooza.com/u/BgAAAAABjS-kn0FW4-ZQ7CwvxSQXRSS79So0TmQo_4CJ0aNEFaABqYh-g8LXbW5aOjCHXFjA3mc-rbnPFgJXlbi--In0c3G9N5gejg13sbzU_RC7eZXtdCw1t0jmcNc5Chevt8bwhYm4EFgS_F1Nz80TWfPyLFmlDGA==,USA; Maryland; College Park,2022-09-17
